timestamp,archive_url,status,distrito,barrio,precio_medio
"2024-09-19 17:31:01,https://web.archive.org/web/20240919173101/https://www.idealista.com/alquiler-viviendas/sevilla/centro/feria/,200,centro,feria,""15,64"""
"2024-04-07 08:43:45,https://web.archive.org/web/20240407084345/https://www.idealista.com/alquiler-viviendas/sevilla/centro/plaza-de-la-gavidia-san-lorenzo/,200,centro,plaza-de-la-gavidia-san-lorenzo,""15,57"""
"2024-05-11 11:42:29,https://web.archive.org/web/20240511114229/https://www.idealista.com/alquiler-viviendas/sevilla/centro/plaza-de-la-gavidia-san-lorenzo/,200,centro,plaza-de-la-gavidia-san-lorenzo,""13,54"""
"2024-07-17 01:39:33,https://web.archive.org/web/20240717013933/https://www.idealista.com/alquiler-viviendas/sevilla/centro/plaza-de-la-gavidia-san-lorenzo/,200,centro,plaza-de-la-gavidia-san-lorenzo,""14,22"""
"2024-09-01 08:46:58,https://web.archive.org/web/20240901084658/https://www.idealista.com/alquiler-viviendas/sevilla/centro/plaza-de-la-gavidia-san-lorenzo/,200,centro,plaza-de-la-gavidia-san-lorenzo,""14,45"""
"2024-09-17 15:37:40,https://web.archive.org/web/20240917153740/https://www.idealista.com/alquiler-viviendas/sevilla/centro/plaza-de-la-gavidia-san-lorenzo/,200,centro,plaza-de-la-gavidia-san-lorenzo,""15,81"""
"2024-11-12 22:51:45,https://web.archive.org/web/20241112225145/https://www.idealista.com/alquiler-viviendas/sevilla/centro/plaza-de-la-gavidia-san-lorenzo/,200,centro,plaza-de-la-gavidia-san-lorenzo,""16,36"""
"2024-11-19 05:33:12,https://web.archive.org/web/20241119053312/https://www.idealista.com/alquiler-viviendas/sevilla/centro/plaza-de-la-gavidia-san-lorenzo/,200,centro,plaza-de-la-gavidia-san-lorenzo,""16,78"""
"2025-01-24 22:08:41,https://web.archive.org/web/20250124220841/https://www.idealista.com/alquiler-viviendas/sevilla/centro/plaza-de-la-gavidia-san-lorenzo/,200,centro,plaza-de-la-gavidia-san-lorenzo,""14,45"""
"2024-05-11 11:49:22,https://web.archive.org/web/20240511114922/https://www.idealista.com/alquiler-viviendas/sevilla/centro/san-vicente/,200,centro,san-vicente,""14,13"""
"2024-07-17 15:08:08,https://web.archive.org/web/20240717150808/https://www.idealista.com/alquiler-viviendas/sevilla/centro/san-vicente/,200,centro,san-vicente,""14,59"""
"2024-08-23 13:30:17,https://web.archive.org/web/20240823133017/https://www.idealista.com/alquiler-viviendas/sevilla/centro/san-vicente/,200,centro,san-vicente,""14,48"""
"2024-09-17 10:56:43,https://web.archive.org/web/20240917105643/https://www.idealista.com/alquiler-viviendas/sevilla/centro/san-vicente/,200,centro,san-vicente,""14,61"""
"2024-04-09 06:50:32,https://web.archive.org/web/20240409065032/https://www.idealista.com/alquiler-viviendas/sevilla/centro/san-julian/,200,centro,san-julian,""14,63"""
"2024-07-16 23:49:17,https://web.archive.org/web/20240716234917/https://www.idealista.com/alquiler-viviendas/sevilla/centro/san-julian/,200,centro,san-julian,""13,43"""
"2024-08-23 13:30:19,https://web.archive.org/web/20240823133019/https://www.idealista.com/alquiler-viviendas/sevilla/centro/san-julian/,200,centro,san-julian,""13,46"""
"2024-09-17 18:48:22,https://web.archive.org/web/20240917184822/https://www.idealista.com/alquiler-viviendas/sevilla/centro/san-julian/,200,centro,san-julian,""14,08"""
"2024-11-25 14:18:39,https://web.archive.org/web/20241125141839/https://www.idealista.com/alquiler-viviendas/sevilla/centro/san-julian/,200,centro,san-julian,""15,77"""
"2024-05-16 12:15:16,https://web.archive.org/web/20240516121516/https://www.idealista.com/alquiler-viviendas/sevilla/bellavista-jardines-de-hercules/bellavista/,200,bellavista-jardines-de-hercules,bellavista,""9,44"""
"2024-07-17 00:45:29,https://web.archive.org/web/20240717004529/https://www.idealista.com/alquiler-viviendas/sevilla/bellavista-jardines-de-hercules/bellavista/,200,bellavista-jardines-de-hercules,bellavista,""9,50"""
"2024-08-28 09:40:22,https://web.archive.org/web/20240828094022/https://www.idealista.com/alquiler-viviendas/sevilla/bellavista-jardines-de-hercules/bellavista/,200,bellavista-jardines-de-hercules,bellavista,""10,18"""
"2024-09-21 08:12:26,https://web.archive.org/web/20240921081226/https://www.idealista.com/alquiler-viviendas/sevilla/bellavista-jardines-de-hercules/bellavista/,200,bellavista-jardines-de-hercules,bellavista,""10,86"""
"2025-01-23 18:53:12,https://web.archive.org/web/20250123185312/https://www.idealista.com/alquiler-viviendas/sevilla/bellavista-jardines-de-hercules/bellavista/,200,bellavista-jardines-de-hercules,bellavista,""10,19"""
"2024-04-08 20:20:52,https://web.archive.org/web/20240408202052/https://www.idealista.com/alquiler-viviendas/sevilla/cerro-amate/cerro-del-aguila/,200,cerro-amate,cerro-del-aguila,""11,40"""
"2024-05-15 10:16:37,https://web.archive.org/web/20240515101637/https://www.idealista.com/alquiler-viviendas/sevilla/cerro-amate/cerro-del-aguila/,200,cerro-amate,cerro-del-aguila,""10,89"""
"2024-07-17 05:40:33,https://web.archive.org/web/20240717054033/https://www.idealista.com/alquiler-viviendas/sevilla/cerro-amate/cerro-del-aguila/,200,cerro-amate,cerro-del-aguila,""11,07"""
"2024-08-23 12:06:11,https://web.archive.org/web/20240823120611/https://www.idealista.com/alquiler-viviendas/sevilla/cerro-amate/cerro-del-aguila/,200,cerro-amate,cerro-del-aguila,""11,02"""
"2024-09-17 15:25:11,https://web.archive.org/web/20240917152511/https://www.idealista.com/alquiler-viviendas/sevilla/cerro-amate/cerro-del-aguila/,200,cerro-amate,cerro-del-aguila,""11,04"""
"2024-11-17 08:05:58,https://web.archive.org/web/20241117080558/https://www.idealista.com/alquiler-viviendas/sevilla/cerro-amate/cerro-del-aguila/,200,cerro-amate,cerro-del-aguila,""10,71"""
"2025-01-23 18:50:26,https://web.archive.org/web/20250123185026/https://www.idealista.com/alquiler-viviendas/sevilla/cerro-amate/cerro-del-aguila/,200,cerro-amate,cerro-del-aguila,""10,49"""
"2024-04-22 04:10:20,https://web.archive.org/web/20240422041020/https://www.idealista.com/alquiler-viviendas/sevilla/sevilla-este/avenida-de-las-ciencias/,200,sevilla-este,avenida-de-las-ciencias,""10,11"""
"2024-05-16 19:06:38,https://web.archive.org/web/20240516190638/https://www.idealista.com/alquiler-viviendas/sevilla/sevilla-este/avenida-de-las-ciencias/,200,sevilla-este,avenida-de-las-ciencias,""10,01"""
"2024-07-17 03:18:25,https://web.archive.org/web/20240717031825/https://www.idealista.com/alquiler-viviendas/sevilla/sevilla-este/avenida-de-las-ciencias/,200,sevilla-este,avenida-de-las-ciencias,""10,23"""
"2024-08-29 16:15:51,https://web.archive.org/web/20240829161551/https://www.idealista.com/alquiler-viviendas/sevilla/sevilla-este/avenida-de-las-ciencias/,200,sevilla-este,avenida-de-las-ciencias,""12,50"""
"2024-09-17 18:20:28,https://web.archive.org/web/20240917182028/https://www.idealista.com/alquiler-viviendas/sevilla/sevilla-este/avenida-de-las-ciencias/,200,sevilla-este,avenida-de-las-ciencias,""12,19"""
"2024-05-11 14:16:59,https://web.archive.org/web/20240511141659/https://www.idealista.com/alquiler-viviendas/sevilla/los-remedios/asuncion-adolfo-suarez/,200,los-remedios,asuncion-adolfo-suarez,""15,24"""
"2024-07-17 05:47:03,https://web.archive.org/web/20240717054703/https://www.idealista.com/alquiler-viviendas/sevilla/los-remedios/asuncion-adolfo-suarez/,200,los-remedios,asuncion-adolfo-suarez,""14,81"""
"2024-08-27 15:53:10,https://web.archive.org/web/20240827155310/https://www.idealista.com/alquiler-viviendas/sevilla/los-remedios/asuncion-adolfo-suarez/,200,los-remedios,asuncion-adolfo-suarez,""14,98"""
"2024-09-17 09:39:49,https://web.archive.org/web/20240917093949/https://www.idealista.com/alquiler-viviendas/sevilla/los-remedios/asuncion-adolfo-suarez/,200,los-remedios,asuncion-adolfo-suarez,""13,75"""
"2024-11-23 05:12:57,https://web.archive.org/web/20241123051257/https://www.idealista.com/alquiler-viviendas/sevilla/los-remedios/asuncion-adolfo-suarez/,200,los-remedios,asuncion-adolfo-suarez,""15,15"""
"2024-12-13 05:15:00,https://web.archive.org/web/20241213051500/https://www.idealista.com/alquiler-viviendas/sevilla/los-remedios/asuncion-adolfo-suarez/,200,los-remedios,asuncion-adolfo-suarez,""14,86"""
"2025-01-23 18:46:25,https://web.archive.org/web/20250123184625/https://www.idealista.com/alquiler-viviendas/sevilla/los-remedios/asuncion-adolfo-suarez/,200,los-remedios,asuncion-adolfo-suarez,""14,96"""
"2020-11-04 18:59:59,https://web.archive.org/web/20201104185959/https://www.idealista.com/alquiler-viviendas/sevilla/centro/puerta-de-la-carne-juderia/,200,centro,puerta-de-la-carne-juderia,""11,22"""
"2024-07-16 20:45:22,https://web.archive.org/web/20240716204522/https://www.idealista.com/alquiler-viviendas/sevilla/centro/puerta-de-la-carne-juderia/,200,centro,puerta-de-la-carne-juderia,""13,99"""
"2024-09-13 17:07:08,https://web.archive.org/web/20240913170708/https://www.idealista.com/alquiler-viviendas/sevilla/centro/puerta-de-la-carne-juderia/,200,centro,puerta-de-la-carne-juderia,""14,11"""
"2024-09-19 08:59:38,https://web.archive.org/web/20240919085938/https://www.idealista.com/alquiler-viviendas/sevilla/centro/puerta-de-la-carne-juderia/,200,centro,puerta-de-la-carne-juderia,""13,42"""
"2024-12-30 10:38:47,https://web.archive.org/web/20241230103847/https://www.idealista.com/alquiler-viviendas/sevilla/centro/puerta-de-la-carne-juderia/,200,centro,puerta-de-la-carne-juderia,""13,16"""
"2024-05-11 11:44:42,https://web.archive.org/web/20240511114442/https://www.idealista.com/alquiler-viviendas/sevilla/sevilla-este/alcalde-l-urunuela-palacio-de-congresos/,200,sevilla-este,alcalde-l-urunuela-palacio-de-congresos,""12,80"""
"2024-07-17 05:43:14,https://web.archive.org/web/20240717054314/https://www.idealista.com/alquiler-viviendas/sevilla/sevilla-este/alcalde-l-urunuela-palacio-de-congresos/,200,sevilla-este,alcalde-l-urunuela-palacio-de-congresos,""13,18"""
